Action,Portfolio,Broker & acct,Asset class,Ticker / ISIN / Reference,Security name,Currency,Trade date, Executed unit price , Executed quantity ,Transaction cost
Buy,FGI,LGT,Equities,388 HK EQUITY,,HKD,1/1/2025,287,"6,172",
Buy,FGI,LGT,Equities,US91282CBQ33 Govt,,USD,1/1/2025,95.88,"120,000",
Buy,FGI,LGT,Equities,700 HK EQUITY,,HKD,1/1/2025,416,"6,428",
Buy,FGI,LGT,Equities,941 HK EQUITY,,HKD,1/1/2025,75.6,"71,000",
Buy,FGI,LGT,Equities,5 HK EQUITY,,HKD,1/1/2025,75.7,"21,200",
Buy,FGI,LGT,Equities,728 HK EQUITY,,HKD,1/1/2025,4.71,"230,000",
Buy,FGI,LGT,Equities,9988 HK EQUITY,,HKD,1/1/2025,81.3,"22,146",
Buy,FGI,LGT,Equities,857 HK EQUITY,,HKD,1/1/2025,6.03,"150,000",
Buy,FGI,LGT,Equities,2800 HK EQUITY,,HKD,1/1/2025,19.78,"49,338",
Buy,FGI,LGT,Equities,3188 HK EQUITY,,HKD,1/1/2025,41.92,"20,000",
Buy,Sinowell,HSBC,Equities,700 HK EQUITY,TENCENT HOLDINGS LTD,HKD,8/1/2025,376,"2,600",0
Buy,Personal,HSBC,Cash,Cash - HKD,Cash - HKD,HKD,10/1/2025,"967,256.37",1,0
Sell,Personal,HSBC,Cash,Cash - USD,Cash - USD,USD,10/1/2025,"124,346.95",-1,0
Sell,Personal,HSBC,Cash,Deposit USD,Deposit USD,USD,10/1/2025,"124,346.95",-1,0
Sell,Sinowell,HSBC,Cash,Deposit HKD,Deposit HKD,HKD,10/1/2025,"981,105.10",-1,0
Sell,Sinowell,HSBC,Cash,Deposit USD,Deposit USD,USD,22/1/2025,"220,000.00",-1,0
Sell,Sinowell,HSBC,Cash,Deposit HKD,Deposit HKD,HKD,22/1/2025,"598,662.19",-1,0
Sell,Sinowell,HSBC,Cash,Cash - USD,Cash - USD,USD,22/1/2025,"220,000.00",-1,0
Sell,Sinowell,HSBC,Cash,Cash - HKD,Cash - HKD,HKD,22/1/2025,"598,662.19",-1,0
Buy,Personal,HSBC,Cash,Cash - USD,Cash - USD,USD,22/1/2025,"220,000.00",1,0
