Action,Portfolio,Broker & acct,Asset class,Ticker / ISIN / Reference,Security name,Currency,Trade date, Executed unit price , Executed quantity ,Transaction cost
Buy,Personal,HSBC,Equities,1299 HK EQUITY,AIA GROUP LTD,HKD,30/11/2023, 67.20 ," 15,000 ",0
Buy,Sinowell,HSBC,Equities,1299 HK EQUITY,AIA GROUP LTD,HKD,30/11/2023, 67.20 ," 15,000 ",0
Buy,FGI,LGT,Equities,2800 HK EQUITY,TRACKER FUND OF HONG KONG-B,HKD,30/11/2023, 17.10 ," 90,000 ",3078
Buy,Personal,HSBC,Equities,2800 HK EQUITY,TRACKER FUND OF HONG KONG-B,HKD,30/11/2023, 17.20 ," 90,000 ",0
Buy,Sinowell,HSBC,Equities,2800 HK EQUITY,TRACKER FUND OF HONG KONG-B,HKD,30/11/2023, 17.19 ," 90,000 ",0
Buy,FGI,LGT,Equities,1883 HK EQUITY,CITIC TELECOM INTERNATIONAL,HKD,30/11/2023, 3.02 ," 150,000 ",907.11999
Buy,Personal,HSBC,Equities,1883 HK EQUITY,CITIC TELECOM INTERNATIONAL,HKD,30/11/2023, 3.03 ," 80,000 ",0
Buy,Sinowell,HSBC,Equities,1883 HK EQUITY,CITIC TELECOM INTERNATIONAL,HKD,30/11/2023, 3.03 ," 100,000 ",0
Buy,FGI,LGT,Cash,Cash - HKD,Cash - HKD,HKD,1/12/2023, 1.00 ," 4,000,000 ",0
Buy,FGI,LGT,Equities,2800 HK EQUITY,TRACKER FUND OF HONG KONG-B,HKD,5/12/2023, 16.40 ," 70,000 ",2296
Buy,Personal,HSBC,Equities,2800 HK EQUITY,TRACKER FUND OF HONG KONG-B,HKD,5/12/2023, 16.37 ," 70,000 ",0
Buy,FGI,LGT,Equities,5 HK EQUITY,HSBC HOLDINGS PLC,HKD,5/12/2023, 59.35 ," 10,000 ",1187
Buy,Personal,HSBC,Equities,5 HK EQUITY,HSBC HOLDINGS PLC,HKD,5/12/2023, 59.30 ," 10,000 ",0
Buy,FGI,LGT,Equities,9961 HK EQUITY,TRIP.COM GROUP LTD,HKD,5/12/2023, 258.00 ," 3,000 ",0
Buy,Personal,HSBC,Equities,9961 HK EQUITY,TRIP.COM GROUP LTD,HKD,5/12/2023, 257.00 ," 3,000 ",0
Buy,FGI,LGT,Equities,1883 HK EQUITY,CITIC TELECOM INTERNATIONAL,HKD,5/12/2023, 3.00 ," 100,000 ",600
Buy,Personal,HSBC,Equities,1883 HK EQUITY,CITIC TELECOM INTERNATIONAL,HKD,5/12/2023, 2.99 ," 250,000 ",0
Buy,Sinowell,HSBC,Equities,2800 HK EQUITY,TRACKER FUND OF HONG KONG-B,HKD,6/12/2023, 16.55 ," 70,000 ",0
Buy,Sinowell,HSBC,Equities,9961 HK EQUITY,TRIP.COM GROUP LTD,HKD,6/12/2023, 257.80 ," 3,000 ",0
Buy,FGI,LGT,Equities,1299 HK EQUITY,AIA GROUP LTD,HKD,6/12/2023, 62.00 ," 10,000 ",1240
Buy,Sinowell,HSBC,Equities,1883 HK EQUITY,CITIC TELECOM INTERNATIONAL,HKD,6/12/2023, 3.01 ," 250,000 ",0
Buy,FGI,LGT,Equities,1299 HK EQUITY,AIA GROUP LTD,HKD,30/11/2023, 67.00 ," 15,000 ",2010
Sell,Personal,HSBC,Cash,Deposit HKD,Deposit HKD,HKD,8/12/2023," 3,001,891.97 ", (1),0
Sell,Sinowell,HSBC,Cash,Deposit HKD,Deposit HKD,HKD,8/12/2023," 1,239,647.98 ", (1),0
Sell,Personal,HSBC,Derivatives,ELN 700 HK Equity 20231201,ELN 700 HK Equity 20231201,HKD,18/10/2023," 1,500,000.00 ", (1),0
Sell,Sinowell,HSBC,Derivatives,ELN 700 HK Equity 20231201,ELN 700 HK Equity 20231201,HKD,18/10/2023," 1,000,000.00 ", (1),0
Buy,FGI,LGT,Equities,2800 HK EQUITY,TRACKER FUND OF HONG KONG-B,HKD,11/12/2023, 16.38 ," 240,000 ",7862.4
Buy,Personal,HSBC,Equities,2800 HK EQUITY,TRACKER FUND OF HONG KONG-B,HKD,11/12/2023, 16.41 ," 150,000 ",0
Buy,Sinowell,HSBC,Equities,2800 HK EQUITY,TRACKER FUND OF HONG KONG-B,HKD,11/12/2023, 16.40 ," 40,000 ",0
Buy,FGI,LGT,Equities,728 HK EQUITY,CHINA TELECOM CORP LTD-H,HKD,11/12/2023, 3.57 ," 800,000 ",0
Buy,Personal,HSBC,Equities,728 HK EQUITY,CHINA TELECOM CORP LTD-H,HKD,11/12/2023, 3.58 ," 400,000 ",0
Buy,FGI,LGT,Equities,5 HK EQUITY,HSBC HOLDINGS PLC,HKD,11/12/2023, 60.40 ," 10,000 ",1208
Buy,Personal,HSBC,Equities,5 HK EQUITY,HSBC HOLDINGS PLC,HKD,11/12/2023, 60.50 ," 10,000 ",0
Sell,FGI,LGT,Equities,1910 HK EQUITY,SAMSONITE GROUP SA,HKD,11/12/2023, 23.00 ," (39,900)",1835.4
Sell,Personal,HSBC,Equities,1910 HK EQUITY,SAMSONITE GROUP SA,HKD,11/12/2023, 23.00 ," (39,900)",0
Sell,Sinowell,HSBC,Equities,1910 HK EQUITY,SAMSONITE GROUP SA,HKD,11/12/2023, 23.00 ," (39,900)",0
